Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1, C10",0402,3,C 1uf,
"C11, C12, C3, C4, C5, C6, C7, C8, C9_2, C9",0402,10,C0.1uf,
C14,0603,1,10 uF,
"C15, C16",0402,2,33pF,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1, R2",0402,2,5.1K,
"R3, R4",0402,2,27,
"R5, R6",0402,2,1K,
R7,0402,1,10K,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,APS1604M-3SQRx-ZR,
U4,SOT-23,1,MCP1700x-330xxTT,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
